,StartDate,EndDate,Status,Progress,duration_p1,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent_BBB,Consent_Prolific,ParticipantID,Metainfo_Browser,Metainfo_Version,Metainfo_Operating System,Metainfo_Resolution,GovtConf1_Future,GovtConf2_Feel,GovtConf3_Trust,GovtConf4_Views,internet_trust_1,internet_trust_2,internet_trust_3,internet_trust_4,internet_trust_5,internet_trust_6,internet_trust_7,internet_trust_8,ssa_trust_1,ssa_trust_2,ssa_trust_3,ssa_trust_4,ssa_trust_5,ssa_trust_6,ssa_trust_7,ssa_trust_8,ssa_trust_9,ssa_trust_10,OnlineShopping,BID,surveyArm,PROLIFIC_PID,PID,NumWithHeadersOpened,NumWithLinksClicked,ProtectYourself,ProtectYourself_Clicked,ProtectYourself_Details,AmazonHP,AmazonHP_Clicked,AmazonHP_Details,email_IRS,email_IRS_Clicked,email_IRS_Details,web_IRS,web_IRS_Clicked,web_IRS_Details,apple,apple_Clicked,apple_Details,amazon_Product,amazon_Product_Clicked,amazon_Product_Details,email_mcafee,email_mcafee_Clicked,email_mcafee_Details,GetProtected,GetProtected_Clicked,GetProtected_Details,ExistInMongo_Training,MongoTraining_Complete,StartDate_p2,EndDate_p2,Status_p2,Progress_p2,duration_p2,Finished_p2,RecordedDate_p2,ResponseId_p2,RecipientLastName_p2,RecipientFirstName_p2,RecipientEmail_p2,ExternalReference_p2,DistributionChannel_p2,UserLanguage_p2,Employment,TotalIncome,Race,Education,Age_1,Gender,ExistInPart2,WalmartProduct,WalmartProduct_Clicked,WalmartProduct_Details,RedCross,RedCross_Clicked,RedCross_Details,SSA_HP,SSA_HP_Clicked,SSA_HP_Details,mySSA,mySSA_Clicked,mySSA_Details,AmazonDeliveryDelay,AmazonDeliveryDelay_Clicked,AmazonDeliveryDelay_Details,FB_SSA,FB_SSA_Clicked,FB_SSA_Details,ssa_optout,ssa_optout_Clicked,ssa_optout_Details,medicareReview,medicareReview_Clicked,medicareReview_Details,benefitsSuspension,benefitsSuspension_Clicked,benefitsSuspension_Details,replacementCard,replacementCard_Clicked,replacementCard_Details,ExistInMongo_Test,MongoTest_Complete,StartDate_p3,EndDate_p3,Status_p3,Progress_p3,duration_p3,Finished_p3,RecordedDate_p3,ResponseId_p3,RecipientLastName_p3,RecipientFirstName_p3,RecipientEmail_p3,ExternalReference_p3,DistributionChannel_p3,UserLanguage_p3,previousFraud,lose_money,amount_lost,report_loss,CyberTraining,Lonely1,Lonely2,Lonely3,KeepResponse,ExistInPart3,Wave,IsPrimaryWave,previousFraudYN,lose_moneyYN,duration_p1_Quantile,duration_p2_Quantile,duration_p3_Quantile,daysFromTrainingToTest,cleanStatus,DuplicatedPID,DuplicatedCleanPID,PID_Length,IsBBB,incomeAmount,race5,employment3,educYears,ageYears,genderI,ageYearsSq,lIncomeAmount,GovtConfScore,TrustInSSAScore,TrustInInternetScore,OnlineShoppingScore,LonelyScore,numCorrect,numFakeLabeledReal,numRealLabeledFake,numRealLabeledReal,numFakeLabeledFake,numEmailsCorrect,numWebsitesCorrect,numLettersCorrect,numSMSesCorrect,numCorrect_Govt,numCorrect_Biz,numEmailsCorrect_Govt,numEmailsCorrect_Biz,numWebsitesCorrect_Govt,numWebsitesCorrect_Biz,numLabeledReal,numLabeledFake,numNoAnswer,Correct_WalmartProduct,Correct_RedCross,Correct_SSA_HP,Correct_mySSA,Correct_AmazonDeliveryDelay,Correct_FB_SSA,Correct_ssa_optout,Correct_medicareReview,Correct_benefitsSuspension,Correct_replacementCard,percentCorrect
43,2022-07-26 22:30:00,7/26/2022 22:33,IP Address,100,180,True,7/26/2022 22:33,R_2ZPwEJ9Jz54MtwI,,,,,anonymous,EN,,Yes,,Chrome,99.0.4844.51,Macintosh,1440x900,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Slightly Agree,Strongly Disagree,Slightly Agree,Slightly Agree,Agree,Strongly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Agree,Slightly Disagree,A few times a year,,arm4_interactive,6019a7211839d5112bf03628,6019a7211839d5112bf03628,4,0,Real,,Details,Real,Click,,Scam,,Details,Real,,,Scam,Click,,Real,,,Real,,Details,Real,,Details,True,True,7/26/2022 22:39,7/26/2022 22:39,IP Address,100.0,33.0,True,7/26/2022 22:39,R_3GwCOj4WjC4B4Gx,,,,,anonymous,EN,"Not employed, looking for work","$60,000 - $79,999",Asian American or Asian,Some college but no degree,24.0,Male,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Scam,,Details,Real,,,Scam,,,Real,,Details,True,True,7/26/2022 22:42,7/26/2022 22:43,IP Address,100.0,49.0,True,7/26/2022 22:43,R_3hi4ynWkRhLIGiA,,,,,anonymous,EN,"Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",Yes,100,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,True,1,0.0,0.0,0.0,Keep,False,False,24,False,70,A,U,13,24.0,0.0,576.0,4.248495242049359,9,4.4,3.0,A few times a year,2.0,10,0,0,5,5,4,4,2,0,6,4,2,2,2,2,5,5,0,True,True,True,True,True,True,True,True,True,True,100.0
45,2022-07-26 22:30:00,7/26/2022 22:34,IP Address,100,208,True,7/26/2022 22:34,R_22KRdu5lptaOGmM,,,,,anonymous,EN,,Yes,,Chrome,105.0.0.0,CrOS x86_64 14989.11.0,1536x864,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Neither Agree nor Disagree,Strongly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Once a week,,arm1_control,62961a6c19ab6d19ba4bc4d2,62961a6c19ab6d19ba4bc4d2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 22:34,7/26/2022 22:35,IP Address,100.0,67.0,True,7/26/2022 22:35,R_3oWKnYf4odxog2X,,,,,anonymous,EN,"Not employed, looking for work","$0 - $19,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,32.0,Male,True,Real,,,Real,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Scam,,,Real,,,Real,,Details,True,True,7/26/2022 22:40,7/26/2022 22:41,IP Address,100.0,85.0,True,7/26/2022 22:41,R_3eyjJNxbQM0TDqo,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from",No,,No,No,Some of the time,Some of the time,Often,"Yes, use the responses.",True,1,True,True,False,2,3.0,3.0,0.0,Keep,False,False,24,False,10,W,U,18,32.0,0.0,1024.0,2.302585092994046,8,3.4,3.25,5,2.3333333333333335,5,4,1,4,1,2,3,0,0,3,2,1,1,2,1,8,2,0,True,False,True,True,True,False,False,False,False,True,50.0
54,2022-07-26 22:31:00,7/26/2022 22:38,IP Address,100,404,True,7/26/2022 22:38,R_3hAwFnmpQxK006s,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1366x768,None at all,Angry,Never,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Agree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Once a month,,arm1_control,5e378948cd9d1670b2b86a51,5e378948cd9d1670b2b86a51,4,1,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 22:38,7/26/2022 22:39,IP Address,100.0,83.0,True,7/26/2022 22:39,R_3nrxr049ZyUdcLy,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Some college but no degree,38.0,Male,True,Real,,,Real,,Details,Real,,,Real,Click,,Real,,Details,Scam,,,Scam,,Details,Real,,,Scam,,,Scam,,Details,True,True,7/26/2022 22:43,7/26/2022 22:46,IP Address,100.0,176.0,True,7/26/2022 22:46,R_1NxNIb5mu6IAuzj,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",Yes,55,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,True,4,4.0,4.0,0.0,Keep,False,False,24,False,70,W,E,13,38.0,0.0,1444.0,4.248495242049359,5,2.2,4.25,4,1.0,7,2,1,4,3,2,3,2,0,4,3,1,1,1,2,6,4,0,True,False,True,False,True,True,True,True,True,False,70.0
47,2022-07-26 22:31:00,7/26/2022 22:34,IP Address,100,203,True,7/26/2022 22:34,R_3fV0ewW0GHszLBc,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1920x1080,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,A few times a week / Daily,,arm4_interactive,5e156dbb19232db781789a8f,5e156dbb19232db781789a8f,4,0,Real,,,Real,,,Scam,,Details,Real,,,Real,,,Scam,,,Real,,Details,Scam,,Details,True,True,7/26/2022 22:39,7/26/2022 22:39,IP Address,100.0,26.0,True,7/26/2022 22:39,R_3J2uyrsgMq329sl,,,,,anonymous,EN,"Not employed, looking for work","$20,000 - $39,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",28.0,Male,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Scam,,Details,Scam,,,Scam,,,Real,,Details,True,True,7/26/2022 22:42,7/26/2022 22:44,IP Address,100.0,62.0,True,7/26/2022 22:44,R_RIYguXRrWt6aeEF,,,,,anonymous,EN,Someone claiming to be from another government agency (but wasn't),No,,No,No,Often,Some of the time,Often,"Yes, use the responses.",True,1,True,True,False,2,0.0,1.0,0.0,Keep,False,False,24,False,30,W,U,12,28.0,0.0,784.0,3.4011973816621555,9,4.0,4.75,A few times a week / Daily,2.6666666666666665,8,1,1,4,4,4,3,1,0,5,3,2,2,2,1,5,5,0,True,True,True,True,True,False,True,False,True,True,80.0
46,2022-07-26 22:31:00,7/26/2022 22:34,IP Address,100,195,True,7/26/2022 22:34,R_3n6PFSCTUnjDxJg,,,,,anonymous,EN,,Yes,,Chrome,103.0.5060.134,Macintosh,2056x1329,Some,Frustrated,Most of the time,Government should do more to solve problems.,Slightly Disagree,Slightly Disagree,Disagree,Slightly Agree,Slightly Agree,Agree,Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Disagree,Once a month,,arm4_interactive,628bdbc77a9dddcd7f4ed538,628bdbc77a9dddcd7f4ed538,4,1,Real,,,Real,,,Scam,,,Real,,,Real,,,Scam,,,Real,,Details,Real,,Details,True,True,7/26/2022 22:38,7/26/2022 22:38,IP Address,100.0,32.0,True,7/26/2022 22:38,R_2aFxIt7POI5qfzy,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999",Asian American or Asian,Bachelor degree,20.0,Male,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,Click,,Scam,,Details,Real,,,Scam,,,Real,,Details,True,True,7/26/2022 22:41,7/26/2022 22:42,IP Address,100.0,80.0,True,7/26/2022 22:42,R_UnEZrfCtsCrL5Hb,,,,,anonymous,EN,Someone selling fraudulent goods or services,No,,No,No,Hardly ever,Hardly ever,Some of the time,"Yes, use the responses.",True,1,True,True,False,1,0.0,3.0,0.0,Keep,False,False,24,False,60,A,E,16,20.0,0.0,400.0,4.0943445622221,10,4.4,3.0,4,1.3333333333333333,9,1,0,5,4,4,3,2,0,6,3,2,2,2,1,6,4,0,True,True,True,True,True,False,True,True,True,True,90.0
51,2022-07-26 22:33:00,7/26/2022 22:36,IP Address,100,166,True,7/26/2022 22:36,R_1isv6uaIrZGFsSm,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1280x720,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Disagree,Strongly Disagree,Strongly Disagree,Slightly Disagree,Slightly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Slightly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Once a month,,arm1_control,5f9dec8897b3c2386c0bd057,5f9dec8897b3c2386c0bd057,0,1,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 22:36,7/26/2022 22:37,IP Address,100.0,50.0,True,7/26/2022 22:37,R_2B4zPwaYF4pIfoT,,,,,anonymous,EN,"Not employed, looking for work","$80,000 - $99,999",Asian American or Asian,"High school degree or equivalent (e.g., GED)",19.0,Female,True,Real,,,Scam,Click,,Real,,,Scam,,,Real,,,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,True,True,7/26/2022 22:41,7/26/2022 22:42,IP Address,100.0,61.0,True,7/26/2022 22:42,R_uaLuiBQMXMyhQXf,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from",No,,No,Yes,Some of the time,Often,Often,"Yes, use the responses.",True,1,True,True,False,1,2.0,1.0,0.0,Keep,False,False,24,False,90,A,U,12,19.0,1.0,361.0,4.499809670330265,8,2.1,1.75,4,2.6666666666666665,8,0,2,3,5,3,4,1,0,4,4,1,2,2,2,3,7,0,True,True,True,True,True,True,True,False,True,False,80.0
61,2022-07-26 22:34:00,7/26/2022 22:44,IP Address,100,600,True,7/26/2022 22:44,R_1hPZUQbm6MZLPD4,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1366x768,Very little,Angry,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Once a week,,arm1_control,5bc3f805f70e2e000121f9b0,5bc3f805f70e2e000121f9b0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 22:44,7/26/2022 22:46,IP Address,100.0,97.0,True,7/26/2022 22:46,R_1FzLASV2hw932YV,,,,,anonymous,EN,"Not employed, NOT looking for work","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Some high school,38.0,Female,True,Real,,,Scam,,,Real,,,Scam,,,Real,,,Real,,,Scam,,,Scam,,,Scam,,,Scam,,,True,True,7/26/2022 22:48,7/26/2022 22:50,IP Address,100.0,140.0,True,7/26/2022 22:50,R_10GwfIsxKtSHjtD,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services,Other",No,,No,No,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,4,4.0,4.0,0.0,Keep,False,False,24,False,30,W,U,8,38.0,1.0,1444.0,3.4011973816621555,6,4.7,3.75,5,1.6666666666666667,7,1,2,3,4,3,3,1,0,4,3,1,2,2,1,4,6,0,True,True,True,True,True,False,True,False,True,False,70.0
53,2022-07-26 22:34:00,7/26/2022 22:37,IP Address,100,167,True,7/26/2022 22:37,R_emql6k4IjD5WIuJ,,,,,anonymous,EN,,Yes,,Chrome iPhone,103.0.5060.63,iPhone,390x844,Very little,Angry,Only some of the time,Government should do more to solve problems.,Slightly Agree,Agree,Disagree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Strongly Disagree,Disagree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Disagree,Slightly Disagree,Disagree,Once a month,,arm4_interactive,61132f517041474fca8b99d5,61132f517041474fca8b99d5,4,0,Real,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Real,,Details,Real,,Details,True,True,7/26/2022 22:41,7/26/2022 22:42,IP Address,100.0,39.0,True,7/26/2022 22:42,R_2RVLGx9OXEpYSeI,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$0 - $19,999",African American or African (Non-Hispanic),Some college but no degree,21.0,Male,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,True,True,7/26/2022 22:44,7/26/2022 22:45,IP Address,100.0,57.0,True,7/26/2022 22:45,R_xl5opF4L6oNHQVH,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services,Other",No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,False,1,1.0,1.0,0.0,Keep,False,False,24,False,10,B,U,13,21.0,0.0,441.0,2.302585092994046,7,3.2,5.0,4,1.0,9,1,0,5,4,4,3,2,0,6,3,2,2,2,1,6,4,0,True,True,True,True,True,False,True,True,True,True,90.0
55,2022-07-26 22:38:00,7/26/2022 22:41,IP Address,100,194,True,7/26/2022 22:41,R_dhbfYkYxyVImcCJ,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1920x1080,Some,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Neither Agree nor Disagree,Slightly Disagree,Disagree,Slightly Disagree,Slightly Agree,Strongly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Disagree,Slightly Agree,Slightly Disagree,Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Once a year,,arm4_interactive,62e03f34dd2156c66495ec77,62e03f34dd2156c66495ec77,4,0,Real,,,Real,,,Scam,,,Real,,,Scam,,,Real,,,Scam,,Details,Real,,Details,True,True,7/26/2022 22:49,7/26/2022 22:49,IP Address,100.0,31.0,True,7/26/2022 22:49,R_Tc6FDocmfrGimYN,,,,,anonymous,EN,"Not employed, looking for work","$0 - $19,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",22.0,Female,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Real,,Details,Scam,,,Real,,,Real,,Details,True,True,7/26/2022 22:54,7/26/2022 22:55,IP Address,100.0,81.0,True,7/26/2022 22:55,R_2ciISmH5EO4HAj2,,,,,anonymous,EN,Someone selling fraudulent goods or services,No,,No,No,Some of the time,Often,Hardly ever,"Yes, use the responses.",True,1,True,True,False,1,0.0,3.0,0.0,Keep,False,False,24,False,10,W,U,12,22.0,1.0,484.0,2.302585092994046,8,3.2,2.375,2,2.0,7,2,1,4,3,3,4,0,0,3,4,1,2,2,2,6,4,0,True,True,True,True,True,True,False,False,False,True,70.0
70,2022-07-26 22:38:00,7/26/2022 22:47,IP Address,100,533,True,7/26/2022 22:47,R_1i8N7veojN4bfC1,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1680x1050,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,A few times a year,,arm1_control,60b4f4b34e71c30513ecc1f5,60b4f4b34e71c30513ecc1f5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 22:47,7/26/2022 22:48,IP Address,100.0,34.0,True,7/26/2022 22:48,R_1Qi3TiMDmN5j1yO,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Bachelor degree,32.0,Male,True,Real,,,Scam,,,Real,,,Real,,,Real,,,Real,,,Real,,,Real,,,Scam,,,Real,,,True,True,7/26/2022 22:50,7/26/2022 22:51,IP Address,100.0,33.0,True,7/26/2022 22:51,R_10VnF3eFAb0aJiO,,,,,anonymous,EN,,,,,Yes,Often,Some of the time,Often,"Yes, use the responses.",True,1,True,False,False,4,1.0,0.0,0.0,Keep,False,False,24,False,30,W,E,16,32.0,0.0,1024.0,3.4011973816621555,8,4.9,4.5,A few times a year,2.6666666666666665,7,3,0,5,2,3,2,2,0,4,3,1,2,1,1,8,2,0,True,True,True,False,True,False,False,True,True,True,70.0
74,2022-07-26 22:38:00,7/26/2022 22:50,IP Address,100,719,True,7/26/2022 22:50,R_1LclZx2cPs3nDjI,,,,,anonymous,EN,,Yes,,Chrome,94.0.4606.85,Android 11,360x780,Some,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Disagree,Disagree,Slightly Disagree,Slightly Disagree,Agree,Slightly Agree,Agree,Agree,Slightly Agree,Agree,Agree,Agree,Agree,Agree,Slightly Agree,Agree,Agree,Agree,A few times a year,,arm1_control,62e0232d0fb7c856d0785a4c,62e0232d0fb7c856d0785a4c,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 22:50,7/26/2022 22:51,IP Address,100.0,92.0,True,7/26/2022 22:51,R_DxerWlYegvVs42B,,,,,anonymous,EN,Retired,"$0 - $19,999",White or Caucasian (Non-Hispanic),Some college but no degree,60.0,Female,True,Real,,,Real,,,Scam,,,Scam,,,Real,,,Scam,,,Scam,,,Scam,,,Real,,,Real,,,True,True,7/26/2022 22:55,7/26/2022 22:57,IP Address,100.0,151.0,True,7/26/2022 22:57,R_2SdhnIjZiE7G6yi,,,,,anonymous,EN,Someone claiming to be from the Social Security Administration (but wasn't),No,,Yes,No,Hardly ever,Hardly ever,Some of the time,"Yes, use the responses.",True,1,True,True,False,4,4.0,4.0,0.0,Keep,False,False,24,False,10,W,R,13,60.0,1.0,3600.0,2.302585092994046,8,5.8,2.375,A few times a year,1.3333333333333333,6,2,2,3,3,3,3,0,0,3,3,2,1,1,2,5,5,0,True,False,False,True,True,True,True,False,False,True,60.0
68,2022-07-26 22:39:00,7/26/2022 22:46,IP Address,100,454,True,7/26/2022 22:46,R_9EJIl00dcDrQgr7,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1366x768,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Agree,Agree,Strongly Agree,Agree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Disagree,Once a month,,arm4_interactive,62e03427479d146dd416271a,62e03427479d146dd416271a,4,0,Real,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Scam,,,Real,,,True,True,7/26/2022 22:50,7/26/2022 22:52,IP Address,100.0,106.0,True,7/26/2022 22:52,R_3j7CTOpApPTAYoX,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$0 - $19,999","White or Caucasian (Non-Hispanic),Asian American or Asian",Associate degree,22.0,Female,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,True,True,7/26/2022 22:54,7/26/2022 22:56,IP Address,100.0,76.0,True,7/26/2022 22:56,R_1gi494G8iijhwo3,,,,,anonymous,EN,Someone selling fraudulent goods or services,Yes,75,No,No,Often,Often,Often,"Yes, use the responses.",True,1,True,True,True,4,4.0,3.0,0.0,Keep,False,False,24,False,10,A,U,14,22.0,1.0,484.0,2.302585092994046,8,3.0,2.125,4,3.0,9,1,0,5,4,4,3,2,0,6,3,2,2,2,1,6,4,0,True,True,True,True,True,False,True,True,True,True,90.0
65,2022-07-26 22:40:00,7/26/2022 22:45,IP Address,100,335,True,7/26/2022 22:45,R_e39u4VLwJqbB23T,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1920x1080,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Agree,Strongly Disagree,Agree,Slightly Disagree,Slightly Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Once a week,,arm1_control,5d0a1045b318b6001742ea0a,5d0a1045b318b6001742ea0a,4,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 22:45,7/26/2022 22:47,IP Address,100.0,96.0,True,7/26/2022 22:47,R_3s15A4xplg6tzOG,,,,,anonymous,EN,"Not employed, NOT looking for work","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,55.0,Female,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Scam,,Details,Real,,,Scam,,,Real,,Details,True,True,7/26/2022 22:58,7/26/2022 23:00,IP Address,100.0,126.0,True,7/26/2022 23:00,R_3DcN3AqHOaizDfk,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services,Other",No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,3,4.0,4.0,0.0,Keep,False,False,24,False,60,W,U,18,55.0,1.0,3025.0,4.0943445622221,9,5.9,3.625,5,2.0,10,0,0,5,5,4,4,2,0,6,4,2,2,2,2,5,5,0,True,True,True,True,True,True,True,True,True,True,100.0
