StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,Employment,TotalIncome,Race,Education,Age_1,Gender,PID
7/30/2022 9:05,7/30/2022 9:05,100,39,TRUE,7/30/2022 9:05,R_10GJXHAJwujiO6A,"Employed, working 1-29 hours per week","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Some college but no degree,19,Male,5ff8f00e24c6e01cfca56f49
7/30/2022 9:04,7/30/2022 9:05,100,105,TRUE,7/30/2022 9:05,R_1OUk6a8PVeB9ngg,"Employed, working 1-29 hours per week","$60,000 - $79,999",African American or African (Non-Hispanic),Bachelor degree,35,Male,62b496ea7c06f67ea068d0d3
7/30/2022 9:05,7/30/2022 9:06,100,30,TRUE,7/30/2022 9:06,R_3069mXvXMegNLHf,"Employed, working 30 or more hours per week","$60,000 - $79,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",28,Male,5623f6afed6e5a000bc7f219
7/30/2022 9:05,7/30/2022 9:06,100,44,TRUE,7/30/2022 9:06,R_24Cq7O8KTatbkG9,"Not employed, NOT looking for work","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Some college but no degree,27,Female,604954e0c32f8060c52eee57
7/30/2022 9:05,7/30/2022 9:06,100,64,TRUE,7/30/2022 9:06,R_OoNPtCzhBbHhjDX,"Disabled, not able to work","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Bachelor degree,65,Female,62a09e79446e4683df8eae3a
7/30/2022 9:06,7/30/2022 9:06,100,21,TRUE,7/30/2022 9:06,R_2ROEX4jG2YuTfog,"Employed, working 1-29 hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Some college but no degree,28,Male,627448a7458cf55c0cdea3bb
7/30/2022 9:07,7/30/2022 9:07,100,24,TRUE,7/30/2022 9:07,R_1BRiEyMsLtxkein,"Not employed, looking for work","$20,000 - $39,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",21,Male,62acefe3b92c0eb8292ab95d
7/30/2022 9:07,7/30/2022 9:07,100,32,TRUE,7/30/2022 9:07,R_3IXFHHHl3Xtvyyi,"Employed, working 30 or more hours per week","$100,000 - $149,999","White or Caucasian (Non-Hispanic),Asian American or Asian",Bachelor degree,26,Male,5c748b9188fdc20017c60436
7/30/2022 9:07,7/30/2022 9:08,100,37,TRUE,7/30/2022 9:08,R_3KQ3KPtAupdxjQe,Retired,"$100,000 - $149,999",White or Caucasian (Non-Hispanic),Bachelor degree,60,Female,6150a73a1ceb25b4c866c4ee
7/30/2022 9:06,7/30/2022 9:08,100,68,TRUE,7/30/2022 9:08,R_3D6mnpppcN78vFF,"Not employed, NOT looking for work","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Bachelor degree,31,Female,62a33f5217536a32157d874e
7/30/2022 9:06,7/30/2022 9:08,100,77,TRUE,7/30/2022 9:08,R_3htnAOgPybPx3vM,"Employed, working 1-29 hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Bachelor degree,54,Female,61219fd8387ca59d07e0dc1c
7/30/2022 9:06,7/30/2022 9:08,100,78,TRUE,7/30/2022 9:08,R_3PvDDIRKc2a42kb,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",29,Male,5eac7cc895c54f0f8d67795c
7/30/2022 9:07,7/30/2022 9:08,100,25,TRUE,7/30/2022 9:08,R_qzv8G2bkuAr5pHH,"Employed, working 30 or more hours per week","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Bachelor degree,28,Female,6100970c7e9012cc0cfaa7f9
7/30/2022 9:07,7/30/2022 9:08,100,42,TRUE,7/30/2022 9:08,R_1myqy06Vrk711Id,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Bachelor degree,34,Male,6290ebb13a126c60c9cb7d11
7/30/2022 9:07,7/30/2022 9:08,100,58,TRUE,7/30/2022 9:08,R_1QDR7RBYgV1ADVP,"Employed, working 30 or more hours per week","$40,000 - $59,999",African American or African (Non-Hispanic),Bachelor degree,50,Female,6266b4ea9408fc167507d923
7/30/2022 9:07,7/30/2022 9:09,100,116,TRUE,7/30/2022 9:09,R_3RlUGTepwYAsq6o,"Employed, working 1-29 hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Some college but no degree,34,Male,6290c772938bc3b286388004
7/30/2022 9:08,7/30/2022 9:09,100,40,TRUE,7/30/2022 9:09,R_3Nzm2qJzb9ogfiN,"Employed, working 30 or more hours per week","$0 - $19,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",24,Male,62c5e680e4a4b4648606d756
7/30/2022 9:08,7/30/2022 9:09,100,26,TRUE,7/30/2022 9:09,R_sZPKWtsx6gmAEj7,"Employed, working 30 or more hours per week","$40,000 - $59,999",I prefer not to say,Some college but no degree,25,Prefer not to answer,611c02851fb3c5628ee12c78
7/30/2022 9:09,7/30/2022 9:09,100,26,TRUE,7/30/2022 9:09,R_32Ja7TG7SWNr51a,"Employed, working 30 or more hours per week","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Some college but no degree,52,Female,62db3b6d1176a3312cfaafe4
7/30/2022 9:08,7/30/2022 9:10,100,70,TRUE,7/30/2022 9:10,R_sG7F2vfJh46CyiJ,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Bachelor degree,29,Male,593b9110048d06000182f1b1
7/30/2022 9:09,7/30/2022 9:10,100,48,TRUE,7/30/2022 9:10,R_12bAXQzSBhKsAAS,"Not employed, NOT looking for work","$60,000 - $79,999",Hispanic,Bachelor degree,49,Female,6267ec348d99cc16e7beb7f7
7/30/2022 9:09,7/30/2022 9:10,100,47,TRUE,7/30/2022 9:10,R_ZC8rBAy0aSXLtW9,"Employed, working 30 or more hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),Some college but no degree,36,Male,629e13e5af1edd0180ee83aa
7/30/2022 9:10,7/30/2022 9:10,100,25,TRUE,7/30/2022 9:10,R_2fCbWDdWMITR9Mv,"Employed, working 30 or more hours per week","$0 - $19,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",29,Male,614e2446523bb49af662fb62
7/30/2022 9:10,7/30/2022 9:10,100,46,TRUE,7/30/2022 9:10,R_pzQaVk19cO6VPVf,"Employed, working 1-29 hours per week","$100,000 - $149,999",Asian American or Asian,"High school degree or equivalent (e.g., GED)",21,Female,61592ea07347e286bca1955f
7/30/2022 9:10,7/30/2022 9:11,100,46,TRUE,7/30/2022 9:11,R_237C7LOjW5v9UK6,"Employed, working 1-29 hours per week","$40,000 - $59,999",African American or African (Non-Hispanic),Some college but no degree,20,Female,60db199b0cfd98c0dd913b74
7/30/2022 9:09,7/30/2022 9:11,100,113,TRUE,7/30/2022 9:11,R_9KKXt7HRGUzBMvT,"Employed, working 1-29 hours per week","$0 - $19,999",White or Caucasian (Non-Hispanic),Some college but no degree,33,Female,5e9e0798c8df731ba79182f1
7/30/2022 9:10,7/30/2022 9:11,100,53,TRUE,7/30/2022 9:11,R_9QAODpUl1zhLnln,"Employed, working 1-29 hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),Bachelor degree,49,Female,5c9527e29e4f7400011e1571
7/30/2022 9:11,7/30/2022 9:11,100,45,TRUE,7/30/2022 9:11,R_3hhimJLdU82tYBG,"Employed, working 30 or more hours per week","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Bachelor degree,52,Female,5953d01e4d560700016462da
7/30/2022 9:11,7/30/2022 9:12,100,47,TRUE,7/30/2022 9:12,R_2ROmfbvm0BN2H6m,"Not employed, looking for work","$0 - $19,999",African American or African (Non-Hispanic),Some college but no degree,20,Male,62cb164128bc19ebb5996a51
7/30/2022 9:12,7/30/2022 9:12,100,30,TRUE,7/30/2022 9:12,R_RIhYtkSyfUaRhv3,"Employed, working 30 or more hours per week","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,38,Female,60358de06e95f2ef5ea32cf0
7/30/2022 9:12,7/30/2022 9:12,100,47,TRUE,7/30/2022 9:12,R_sA87yqQHzV8n7ix,"Employed, working 30 or more hours per week","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,54,Female,5dd3cfb7b103ee3b428185b2
7/30/2022 9:12,7/30/2022 9:13,100,43,TRUE,7/30/2022 9:13,R_UiPdvZH48TpjOvv,"Not employed, NOT looking for work","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Some college but no degree,20,Female,61213c306db0c995df67988e
7/30/2022 9:12,7/30/2022 9:13,100,46,TRUE,7/30/2022 9:13,R_2PjtG5mbclxpuCd,"Employed, working 1-29 hours per week","$20,000 - $39,999",Hispanic,"High school degree or equivalent (e.g., GED)",18,Male,62b5e02f3112243a7d47153c
7/30/2022 9:12,7/30/2022 9:13,100,24,TRUE,7/30/2022 9:13,R_1OkU5ZxI6jvrHus,"Employed, working 1-29 hours per week","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,39,Male,5cb9ca6814b3cb0017e4f7dd
7/30/2022 9:12,7/30/2022 9:13,100,64,TRUE,7/30/2022 9:13,R_1M4zFzWEvKOlRBH,"Disabled, not able to work","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Some college but no degree,43,Male,614e2791b9cd4f7631f6b991
7/30/2022 9:12,7/30/2022 9:13,100,73,TRUE,7/30/2022 9:13,R_2EaaerYQFdefV5y,"Employed, working 1-29 hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Some college but no degree,32,Male,61033f9a2452f9e160824cf4
7/30/2022 9:12,7/30/2022 9:13,100,79,TRUE,7/30/2022 9:13,R_3fxjmtcMwK0EeQ8,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",37,Male,61602d371599d54a4e61545c
7/30/2022 9:12,7/30/2022 9:13,100,57,TRUE,7/30/2022 9:13,R_2VPBZeI7PDe7MkE,"Employed, working 30 or more hours per week","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,49,Male,5ba292385301b80001c71ba2
7/30/2022 9:10,7/30/2022 9:13,100,208,TRUE,7/30/2022 9:13,R_3KJwSyxN6EefYEH,"Employed, working 30 or more hours per week","$100,000 - $149,999",Asian American or Asian,Bachelor degree,34,Male,62df6e55d6e4b5d86aca366b
7/30/2022 9:13,7/30/2022 9:14,100,32,TRUE,7/30/2022 9:14,R_2arfM5t9rkcZ2Kk,"Not employed, NOT looking for work","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Associate degree,48,Female,6126ecc3ebef11936ed8bfcb
7/30/2022 9:13,7/30/2022 9:14,100,53,TRUE,7/30/2022 9:14,R_1K9Ldf2E4wR2J8C,"Employed, working 30 or more hours per week","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,30,Female,62b9f49bd93f53887f681253
7/30/2022 9:13,7/30/2022 9:14,100,49,TRUE,7/30/2022 9:14,R_22yJjLmIMJhVO2K,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Some college but no degree,46,Female,61507fbc4982c9110ce54629
7/30/2022 9:13,7/30/2022 9:14,100,50,TRUE,7/30/2022 9:14,R_1Oq5ZIneQ9pVVMM,"Employed, working 30 or more hours per week","$20,000 - $39,999",Hispanic,"High school degree or equivalent (e.g., GED)",31,Female,61087689e968fcf3269375c1
7/30/2022 9:11,7/30/2022 9:14,100,162,TRUE,7/30/2022 9:14,R_306jxixcj57d7Zg,"Employed, working 30 or more hours per week","$80,000 - $99,999",White or Caucasian (Non-Hispanic),Bachelor degree,67,Male,5bf9bd81549c180001dab194
7/30/2022 9:12,7/30/2022 9:14,100,141,TRUE,7/30/2022 9:14,R_3LYE7ZVbqObWpFV,"Employed, working 1-29 hours per week","$80,000 - $99,999",White or Caucasian (Non-Hispanic),Bachelor degree,49,Female,5ba18771e671c600012322e4
7/30/2022 9:14,7/30/2022 9:15,100,22,TRUE,7/30/2022 9:15,R_3OdlLPVAJLVy5wA,"Not employed, NOT looking for work","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Some college but no degree,20,Male,62dd6531924ddf70ff03401f
7/30/2022 9:14,7/30/2022 9:15,100,48,TRUE,7/30/2022 9:15,R_pyNbVhoyFBO0xlD,"Employed, working 1-29 hours per week","$40,000 - $59,999","Native American, Native Hawaiian or Pacific Islander",Bachelor degree,50,Male,629e2941fc423a5cd2d2daba
7/30/2022 9:07,7/30/2022 9:15,100,467,TRUE,7/30/2022 9:15,R_Z7Y5h6Ti8sVWk81,"Employed, working 30 or more hours per week","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Bachelor degree,39,Male,56f9364e895094000c8f4967
7/30/2022 9:14,7/30/2022 9:15,100,70,TRUE,7/30/2022 9:15,R_Zq6AvGrNHuql0Bj,"Employed, working 30 or more hours per week","$40,000 - $59,999","Hispanic,Native American, Native Hawaiian or Pacific Islander",Bachelor degree,26,Male,60f07d8c1de076bcea9e0d44
7/30/2022 9:14,7/30/2022 9:15,100,66,TRUE,7/30/2022 9:15,R_3qfzwNuV1zAZYke,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Some college but no degree,46,Male,5fac564d924fc920890fa307
7/30/2022 9:15,7/30/2022 9:15,100,47,TRUE,7/30/2022 9:15,R_vfeUE5grW77qPRv,"Disabled, not able to work","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Some college but no degree,27,Female,5f20c7843957f61f62c58bb6
7/30/2022 9:15,7/30/2022 9:15,100,34,TRUE,7/30/2022 9:15,R_emO8E53aSatIj29,"Employed, working 1-29 hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",43,Female,6116a9328aa24edfe840f20c
7/30/2022 9:15,7/30/2022 9:15,100,42,TRUE,7/30/2022 9:15,R_9ABGWSBhmeB9wA1,"Employed, working 30 or more hours per week","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Bachelor degree,31,Male,60da18dba560960ea60a8fe5
7/30/2022 9:15,7/30/2022 9:16,100,42,TRUE,7/30/2022 9:16,R_QbTZRyGsRWh9VjX,"Employed, working 30 or more hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),Bachelor degree,32,Male,5f888f1504ea37030833e9ec
7/30/2022 9:15,7/30/2022 9:16,100,37,TRUE,7/30/2022 9:16,R_2To9bPs2gbwNmmt,"Employed, working 30 or more hours per week","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,31,Male,62cb22842f1ec39a29ca4a2c
7/30/2022 9:14,7/30/2022 9:16,100,131,TRUE,7/30/2022 9:16,R_37NWMDhyFu94IAF,"Employed, working 30 or more hours per week","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,45,Female,60199dc499b0a7105341be00
7/30/2022 9:14,7/30/2022 9:16,100,74,TRUE,7/30/2022 9:16,R_3EsBj4v9aXU762i,"Not employed, NOT looking for work","$0 - $19,999",White or Caucasian (Non-Hispanic),Some high school,35,Female,5f0b7738c6db5749620df837
7/30/2022 9:15,7/30/2022 9:16,100,46,TRUE,7/30/2022 9:16,R_2ylwdxB1Fdx6kd7,"Disabled, not able to work","$0 - $19,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",29,Female,5d3caf9429130a00015cd0e3
7/30/2022 9:16,7/30/2022 9:16,100,23,TRUE,7/30/2022 9:16,R_3EQrFpIBaKpL7WL,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Some high school,40,Female,5d82be0cf45ead000150f026
7/30/2022 9:15,7/30/2022 9:16,100,45,TRUE,7/30/2022 9:16,R_2rDBdxcwIwN6atS,"Employed, working 30 or more hours per week","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Associate degree,40,Female,5ae75fb18ca3cc000109816e
7/30/2022 9:16,7/30/2022 9:17,100,27,TRUE,7/30/2022 9:17,R_2QrpGoBvBBW2qtl,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",30,Male,5a216247c3e60a0001780c42
7/30/2022 9:16,7/30/2022 9:17,100,24,TRUE,7/30/2022 9:17,R_sSWINh0dRg5VBYt,"Employed, working 30 or more hours per week","$80,000 - $99,999",Asian American or Asian,Bachelor degree,40,Male,59d662aa0c0c7100015b9af6
7/30/2022 9:16,7/30/2022 9:17,100,43,TRUE,7/30/2022 9:17,R_Z3PrUiGolv9rm0h,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",34,Male,5ec1c41a1f98090e8c119332
7/30/2022 9:16,7/30/2022 9:17,100,49,TRUE,7/30/2022 9:17,R_6hTvxX9l7ngVjLX,"Not employed, NOT looking for work","$0 - $19,999","White or Caucasian (Non-Hispanic),Hispanic",Associate degree,30,Male,5ace7a9be9d7a30001c2d8c7
7/30/2022 9:16,7/30/2022 9:17,100,60,TRUE,7/30/2022 9:17,R_2xGgNBUNsGJs6Jd,"Employed, working 30 or more hours per week","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,34,Male,5f17821d53d8590009cfc951
7/30/2022 9:17,7/30/2022 9:17,100,52,TRUE,7/30/2022 9:17,R_2YfdscIt2VtneyX,"Employed, working 30 or more hours per week","$60,000 - $79,999","White or Caucasian (Non-Hispanic),Hispanic",Bachelor degree,25,Female,5f828b8fe582bf3b91ffc1eb
7/30/2022 9:17,7/30/2022 9:18,100,36,TRUE,7/30/2022 9:18,R_3gTTNV2t9Eg1tan,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Associate degree,22,Male,545cccd0fdf99b75ad2e325a
7/30/2022 9:17,7/30/2022 9:18,100,44,TRUE,7/30/2022 9:18,R_1KvACa0TbJ9Mwtm,"Employed, working 30 or more hours per week","$20,000 - $39,999",,Graduate or professional degree,53,Female,5cb4c5bad44c410017960aa0
7/30/2022 9:18,7/30/2022 9:18,100,37,TRUE,7/30/2022 9:18,R_1Q6P0fgtoDlsJGP,"Employed, working 1-29 hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),Some college but no degree,44,Female,62b2132a781ad15631672d81
7/30/2022 9:18,7/30/2022 9:18,100,47,TRUE,7/30/2022 9:18,R_2EysqfbHyVHIUc1,"Not employed, NOT looking for work","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Some college but no degree,36,Male,6294bc3eec2ddf53f2dc9316
7/30/2022 9:18,7/30/2022 9:18,100,43,TRUE,7/30/2022 9:18,R_24GHvIUXRNwDd5n,"Employed, working 30 or more hours per week","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Bachelor degree,44,Female,62729485c0955ee802ac1692
7/30/2022 9:18,7/30/2022 9:19,100,47,TRUE,7/30/2022 9:19,R_2f8qgFojZYuKAsi,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Some college but no degree,42,Male,5de980f71edb790a97623b54
7/30/2022 9:18,7/30/2022 9:19,100,65,TRUE,7/30/2022 9:19,R_2Vq14ff4sO5eReW,Retired,"$150,000 or more",White or Caucasian (Non-Hispanic),Graduate or professional degree,66,Male,582c83a0bbb67e0001e49ec1
7/30/2022 9:18,7/30/2022 9:19,100,40,TRUE,7/30/2022 9:19,R_0j3frT4lBCZLWy5,"Disabled, not able to work","$40,000 - $59,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",35,Male,5b6259be5256470001bd0c6d
7/30/2022 9:18,7/30/2022 9:19,100,74,TRUE,7/30/2022 9:19,R_3O8iWaYhwYFDh2z,"Disabled, not able to work","$0 - $19,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",29,Male,614f8a70e5ea153e8f8059d4
7/30/2022 9:18,7/30/2022 9:19,100,39,TRUE,7/30/2022 9:19,R_2YJQpxiZWIxxsnB,"Employed, working 1-29 hours per week","$80,000 - $99,999",Hispanic,Some college but no degree,20,Female,611173900721df318b8151c7
7/30/2022 9:18,7/30/2022 9:19,100,49,TRUE,7/30/2022 9:19,R_1hRXlKSfJwFSFhb,"Employed, working 30 or more hours per week","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Some college but no degree,25,Male,5c2bb03b9fb36d000198e2d7
7/30/2022 9:12,7/30/2022 9:19,100,433,TRUE,7/30/2022 9:19,R_1Nk8paqSixIVxdo,"Employed, working 30 or more hours per week","$80,000 - $99,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,50,Male,5eaca0deb38b611362ece75d
7/30/2022 9:19,7/30/2022 9:19,100,56,TRUE,7/30/2022 9:19,R_2VKBHIHo3fbjoyQ,"Employed, working 30 or more hours per week","$0 - $19,999",White or Caucasian (Non-Hispanic),Some college but no degree,33,Male,59d8ae913e5ea00001e1d05f
7/30/2022 9:19,7/30/2022 9:20,100,47,TRUE,7/30/2022 9:20,R_2QXOUknK4Yt3PpW,"Employed, working 30 or more hours per week","$0 - $19,999",White or Caucasian (Non-Hispanic),Some college but no degree,20,Female,60fcecb0666181be9735cdf5
7/30/2022 9:19,7/30/2022 9:20,100,67,TRUE,7/30/2022 9:20,R_21hzeuEvqT3WXyV,"Not employed, NOT looking for work","$150,000 or more",White or Caucasian (Non-Hispanic),Graduate or professional degree,52,Male,5fba9d0b11db76aa38bdc72c
7/30/2022 9:19,7/30/2022 9:20,100,48,TRUE,7/30/2022 9:20,R_2QEcONwRuoq3L73,"Not employed, looking for work","$20,000 - $39,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",22,Male,6123edc799de1e1894257e4b
7/30/2022 9:19,7/30/2022 9:20,100,47,TRUE,7/30/2022 9:20,R_Xn6X95n1ndlcLdf,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Bachelor degree,27,Male,569cffa09e8363000c3087cd
7/30/2022 9:19,7/30/2022 9:20,100,39,TRUE,7/30/2022 9:20,R_2SIF2vx7zpy0IPz,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,29,Male,62c61d523167ae5eafc98e6c
7/30/2022 9:19,7/30/2022 9:20,100,54,TRUE,7/30/2022 9:20,R_W1ozMpH9FOrdWbD,Retired,"$100,000 - $149,999",White or Caucasian (Non-Hispanic),Bachelor degree,69,Female,6296d0ae1efe1220cc0e91f4
7/30/2022 9:20,7/30/2022 9:20,100,19,TRUE,7/30/2022 9:20,R_31mdoSImkDdTBuY,"Employed, working 30 or more hours per week","$100,000 - $149,999",African American or African (Non-Hispanic),Graduate or professional degree,35,Male,5d5b0dd7c032a2001ad7cf5d
7/30/2022 9:19,7/30/2022 9:21,100,105,TRUE,7/30/2022 9:21,R_1GBLphI6RfTl3G5,"Employed, working 30 or more hours per week","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Bachelor degree,29,Female,581649f0b434f0000184d2a9
7/30/2022 9:20,7/30/2022 9:21,100,33,TRUE,7/30/2022 9:21,R_2Tu8eQKjImIZDTx,"Employed, working 30 or more hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),Graduate or professional degree,57,Female,5ee3c01c7247c006e9a3f4fd
7/30/2022 9:16,7/30/2022 9:21,100,296,TRUE,7/30/2022 9:21,R_3sBX5eEylKA9XJz,"Not employed, looking for work","$20,000 - $39,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",18,Female,627ebc31883c7dd7c2220c7e
7/30/2022 9:21,7/30/2022 9:21,100,33,TRUE,7/30/2022 9:21,R_dbYdL9nf2srQO4N,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Bachelor degree,24,Male,62e35339be130be2385bab14
7/30/2022 9:19,7/30/2022 9:22,100,134,TRUE,7/30/2022 9:22,R_1eLZWVo6S8sGNDu,"Not employed, NOT looking for work","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Bachelor degree,23,Female,6108259e1c4261e8acfc5f8e
7/30/2022 9:22,7/30/2022 9:22,100,24,TRUE,7/30/2022 9:22,R_30vsGvxM1hRL6D4,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Some college but no degree,42,Female,62961bfdbe5f238d3225db72
7/30/2022 9:22,7/30/2022 9:23,100,55,TRUE,7/30/2022 9:23,R_bgfeLgCh9AZu0ql,"Employed, working 30 or more hours per week","$80,000 - $99,999",White or Caucasian (Non-Hispanic),Bachelor degree,37,Male,614016b99ef934f87c7ee4da
7/30/2022 9:22,7/30/2022 9:23,100,43,TRUE,7/30/2022 9:23,R_29t3EweV9o6cJEU,"Employed, working 30 or more hours per week","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,55,Female,5a0d9553fe645f0001e9f852
7/30/2022 9:23,7/30/2022 9:24,100,46,TRUE,7/30/2022 9:24,R_1jj1R8W8kPmyszM,"Employed, working 30 or more hours per week","$100,000 - $149,999",I prefer not to say,Graduate or professional degree,40,Prefer not to answer,60b85becc8a6814025bc03f6
7/30/2022 9:23,7/30/2022 9:24,100,29,TRUE,7/30/2022 9:24,R_24gHdX74ldS77Yl,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Bachelor degree,23,Male,62dc7acd1645fa3e7224da03
7/30/2022 9:23,7/30/2022 9:24,100,69,TRUE,7/30/2022 9:24,R_8lb2aZ0ntSeGkUh,"Employed, working 30 or more hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),Bachelor degree,42,Male,6234a71d1b478a615e51ab69
7/30/2022 9:24,7/30/2022 9:24,100,26,TRUE,7/30/2022 9:24,R_1LtJ0b1SAvmaD1g,"Not employed, looking for work","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,50,Female,6282575ebe32fdc6268babc8
7/30/2022 9:24,7/30/2022 9:25,100,26,TRUE,7/30/2022 9:25,R_2bPL4wk3ehqSdAZ,"Employed, working 30 or more hours per week","$80,000 - $99,999",White or Caucasian (Non-Hispanic),Bachelor degree,40,Female,616a6204b989f71da0a1a889
7/30/2022 9:24,7/30/2022 9:25,100,53,TRUE,7/30/2022 9:25,R_AHcgsWh9PbSri3n,"Employed, working 1-29 hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Some college but no degree,44,Female,615bb35e52d50aa9a2ae6747
7/30/2022 9:24,7/30/2022 9:25,100,59,TRUE,7/30/2022 9:25,R_ByLUKoRyZQQAYI9,"Employed, working 30 or more hours per week","$100,000 - $149,999",African American or African (Non-Hispanic),Bachelor degree,36,Female,620bdf8ca922fc3f247f7161
7/30/2022 9:23,7/30/2022 9:25,100,85,TRUE,7/30/2022 9:25,R_3KT8pKEpgcxmkHO,"Disabled, not able to work","$0 - $19,999",White or Caucasian (Non-Hispanic),Some college but no degree,57,Female,614e17b2c995f89d1271ac13
7/30/2022 9:25,7/30/2022 9:25,100,34,TRUE,7/30/2022 9:25,R_2CyzOJ9wlqBRzie,"Employed, working 30 or more hours per week","$80,000 - $99,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,34,Male,600340c28bbd673ed1d69e56
7/30/2022 9:25,7/30/2022 9:26,100,58,TRUE,7/30/2022 9:26,R_6RmHga6wnQ72Fdn,"Employed, working 1-29 hours per week","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Bachelor degree,48,Female,6278109181f51e9924d09793
7/30/2022 9:25,7/30/2022 9:26,100,27,TRUE,7/30/2022 9:26,R_1gLvYPaTXckVTny,"Not employed, NOT looking for work","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Bachelor degree,33,Female,610978200236b59da80571e7
